id,user,created_at,text
1049461556269015042,Windows,2018-10-09 00:48:27,@davepermen How odd! Have you already shared this in our Feedback Hub? https://t.co/g4NQzYPrgx
1049454113312952320,Windows,2018-10-09 00:18:53,@ArqIbM Thanks for sharing this. What is the make and model of your PC?
1049453896865853442,Windows,2018-10-09 00:18:01,@Ryan_Provenzano Have you run through these steps for driver updates as well? https://t.co/YhOKCnBBT7
1049453145817063424,Windows,2018-10-09 00:15:02,@ivanzlatev We understand. Thanks for getting back to us. Are there any workarounds you've found to adjusting brightness?
1049451879015636992,Windows,2018-10-09 00:10:00,@celpaxreb We understand. Is your PC running well despite the missing update?
1049450583319564288,Windows,2018-10-09 00:04:51,@spyridonkagkas Are you seeing any issues or errors when the update fails? We'd love to help.
1049449505005944832,Windows,2018-10-09 00:00:34,"@disciplesJerry Hi, Joe. Are you still seeing this problem with the updates? We're here to help."
1049448983075139585,Windows,2018-10-08 23:58:30,@hniyaz We're glad your a fan! How has the rest of your Windows experience been lately?
1049448606967746560,Windows,2018-10-08 23:57:00,@DerrickGenther Hello! Can you share more about what happened leading to this? We're here to help.
1049447854564102144,Windows,2018-10-08 23:54:00,"@discodragon95 Thanks for reaching out! Your PC should be fine, but we'd like to follow up. How is it running today?"
1049447714881187840,Windows,2018-10-08 23:53:27,"@Ufxs014 Hello, Martin! Thanks for your patience. How is your PC running for you after the update?"
1049446442283220992,Windows,2018-10-08 23:48:24,"@DavidBretherton Hi, David. What kind of performance change are you currently seeing? We're here to help."
1049446192017485824,Windows,2018-10-08 23:47:24,"@IdkWwefan Hey, there! Which update in particular are you seeing this issue with?"
1049445209803816960,Windows,2018-10-08 23:43:30,"@anthonyhunter69 Ah, the setup itself! It still looks good, Anthony. 📱💙"
1049444581773889536,Windows,2018-10-08 23:41:00,"@AsISeeTech Hello, there! We're always looking for ways we can improve! https://t.co/4QVq4ZeHMT"
1049443446870687744,Windows,2018-10-08 23:36:30,@yadlaaf We appreciate your patience. How is your PC running after the update?
1049443025951309824,Windows,2018-10-08 23:34:49,"@jaycaron87 We're glad you're a fan, Jay! Have you set this as your theme yet?"
1049438764026736642,Windows,2018-10-08 23:17:53,"@Adi735 Hi, Aditya. Thanks for reaching out. Can you share with us when this popped up?"
1049429481394442241,Windows,2018-10-08 22:41:00,"@pickledmybrain Hey, there! We'd love to help sort this out. What is the make and model of your PC?"
1049428572925042693,Windows,2018-10-08 22:37:23,"@billthekirk We love your excitement, Kirk! How are you enjoying Windows so far?"
1049427468816457730,Windows,2018-10-08 22:33:00,@TempWello6143 We're always looking for things like this to add in the future! Can you share this on our Feedback H… https://t.co/HZGQlbNphf
1049426372819603456,Windows,2018-10-08 22:28:39,@Leemii17 Hello! Thanks for reaching out. What is the make and model of this PC?
1049424899171848193,Windows,2018-10-08 22:22:47,"@ynnikolova Hi, Ana. What kind of issues are you experiencing? We're here to help."
1049424778900197377,Windows,2018-10-08 22:22:19,@FahmiHisyam00 Hello! Thanks for reaching out. What's the make and model of your PC?
1049416251225907201,Windows,2018-10-08 21:48:26,@HelenKPDem How odd. We recommend trying these steps to boost performance of Microsoft Edge on your device:… https://t.co/4eeSspuRQu
1049415891803402247,Windows,2018-10-08 21:47:00,@MCruzZ_ Right on! 👍 What kind of games are you looking to play on it?
1049415559643897858,Windows,2018-10-08 21:45:41,"@truckershorizon Oh, gotcha! Let us know when you get the chance to check it out. We'd love to hear what you think!"
1049410977643581440,Windows,2018-10-08 21:27:28,"@xbox75966575 Hi, there. Are you still experiencing this at the moment? We’re here to help if you need us."
1049394220870619136,Windows,2018-10-08 20:20:53,"@jbrophy88 We thought you might think so, John! How has the rest of the October Update been treating you?"
1049393972886552577,Windows,2018-10-08 20:19:54,"@amoghnatu Loving your excitement, Amogh! How has the rest of your Windows experience been post-update?"
1049392352756948992,Windows,2018-10-08 20:13:28,@nicola_onofri Fantastic! 💙 How long have you been using Windows?
1049391913302863872,Windows,2018-10-08 20:11:43,@Gachanja_ You're welcome! Let us know if you have questions.
1049387066281353223,Windows,2018-10-08 19:52:27,@bleu_jane We recommend making sure your active hours are set. This tells us the ideal times to update your PC: https://t.co/Q12QdqPvTx
1049386045442326528,Windows,2018-10-08 19:48:24,@NatNat_DGAF Thanks for letting us know! We're always hunting for new ways to improve. Make sure to log this with u… https://t.co/zLv1ZeRjOm
1049383038600273920,Windows,2018-10-08 19:36:27,@SvenDaHacker64 We're glad you think so! 😎 Which Windows apps do you use the most?
1049376233195294720,Windows,2018-10-08 19:09:25,@declaa Right on! 🙂 What do you primarily use Windows 10 for?
1049375822837153798,Windows,2018-10-08 19:07:47,@RockoCalavasi You're welcome! 👍
1049369586947244032,Windows,2018-10-08 18:43:00,@truckershorizon We wanted to check back in. Did you have a chance to try Continue on PC yet?
1049369185829183488,Windows,2018-10-08 18:41:24,@starmoon4u We love having awesome users like you! 😃 Have you been working on any cool projects with Windows lately?
1049368831406350336,Windows,2018-10-08 18:40:00,@Jdlaooo Amazing! 🏆 Have any other new changes been catching your eye so far?
1049364792392212482,Windows,2018-10-08 18:23:57,@redtahr Interesting. Could you share a few more details about which build these devices are running? We'd like to sort this out.
1049364050927398913,Windows,2018-10-08 18:21:00,@HgAlexx We wanted to check back in. Are you able to identify the last version of Windows that was installed?
1049363546625204226,Windows,2018-10-08 18:19:00,@Kukuebe That's a great list! 💙 What do you mainly use Windows for?
1049362915952873472,Windows,2018-10-08 18:16:30,@dkbrown1411 That's awesome! 🎉 We suggest checking out the Windows lifecycle fact sheet to learn more about end of… https://t.co/wXvn0Xmbgy
1049361920778784768,Windows,2018-10-08 18:12:32,"@_aeroplaneblues Ah, gotcha! Let us know if you'd like other recommendations. We're always a tweet away!"
1049361534307225601,Windows,2018-10-08 18:11:00,@TheFZR Are you still seeing this kind of behavior? We'd like to learn more.
1049361101085986818,Windows,2018-10-08 18:09:17,@bansalkrishan We love the excitement! 😄 When was your first time using a Windows device?
1049359881428508673,Windows,2018-10-08 18:04:26,@cyberfox0113 That's what we like to hear! Have any other new improvements been standing out so far?
1049355872131076096,Windows,2018-10-08 17:48:30,@yagyaansh Right on! 😃 What do you primarily use your Windows PC for?
1049355494572412928,Windows,2018-10-08 17:47:00,@hww1955 That's music to our ears! 🎵 Any changes or improvements catching your eye?
1049355135388983296,Windows,2018-10-08 17:45:35,@ffernandoid Thank you for taking the time to share with us. 😀 Make sure to share any suggestions here: https://t.co/IpMKL9nKUj
1049354487234809856,Windows,2018-10-08 17:43:00,@ManikandanRamr Thanks for the compliments! 💙 We're always hunting for ways to refine Microsoft Edge. Make sure to… https://t.co/H4Q5TjmEuE
1049350107043438594,Windows,2018-10-08 17:25:36,@AwkwardRay We appreciate users like you. 🙂 Learn how to adjust notification settings in Windows 10 here: https://t.co/CwzV9nU8BZ
1049342801459236867,Windows,2018-10-08 16:56:34,"@N8D351GN Thanks for doing that, Nate! 👍 Your feedback allows us to make Windows even better!"
1049342516569497602,Windows,2018-10-08 16:55:26,@CaptainWilde We wanted to check in. Were you able to successfully update your device?
1049342365033537541,Windows,2018-10-08 16:54:50,@Zeyhash Right on! Let's see if we can narrow it down. Do you have an ideal screen size in mind?
1049342014062563328,Windows,2018-10-08 16:53:26,@pauliom We're always open to new suggestions! Make sure to log your thoughts in the Feedback Hub:… https://t.co/WROvJrtNzs
1049341252427296768,Windows,2018-10-08 16:50:25,"@OMGsteveFTW Okay, understood. We're always looking to improve. Make sure to share your experience with us here:… https://t.co/DTcOXYolcP"
1049341009363193856,Windows,2018-10-08 16:49:27,@olischolz Understood. We appreciate your feedback.
1049340819113762817,Windows,2018-10-08 16:48:41,@MCruzZ_ Sounds good! Let's see if we can narrow it down first. Are you looking for a gaming desktop or laptop?
1049339495513018368,Windows,2018-10-08 16:43:26,"@Shocklate_ Oh, alright! Glad to hear things are back up and running now. 👍 Have you had a chance to capture any ep… https://t.co/T2RwsZ7KM5"
1049338362837065729,Windows,2018-10-08 16:38:56,@KB2_SB1 That's music to our ears! 🎶 Be sure to share any other creations with us. We love seeing what our users can bring to life!
1049335612862599168,Windows,2018-10-08 16:28:00,@codeguy That's what we like to hear! 😄 Are you working on any cool projects with Windows right now?
1049334985247866881,Windows,2018-10-08 16:25:30,@KapilanTamil We're happy to hear it! 🎉 What kind of work do you use Windows for?
1049334461110935554,Windows,2018-10-08 16:23:25,"@ByCharlieRicker Ah, okay. Let us know if you have questions. We're always just a tweet away, if needed. 👍"
1049332845397729282,Windows,2018-10-08 16:17:00,@iBRM___ Surface Laptop is an excellent choice! Be sure to check out all your options here: https://t.co/5rUEphUu8m… https://t.co/Ufu9fjGjNw
1049316592587354113,Windows,2018-10-08 15:12:25,"@SeanMacfarlain Thank you for sharing this info, Seán. Let's have you try this Windows Update Troubleshooter:… https://t.co/gsGaJPjV74"
1049315591264391168,Windows,2018-10-08 15:08:26,@HelenKPDem We appreciate your patience. Are you seeing any specific error codes or messages? We'd like to learn more.
1049314846423113728,Windows,2018-10-08 15:05:29,@KathRella Thank you for bringing this to our attention. We recommend learning how to change notification settings… https://t.co/71zDJfFjic
1049312080782925825,Windows,2018-10-08 14:54:29,@Valdewyn Thanks for the compliments! 😊 We love having awesome users like you. Have you tried using Paint 3D to create any works of art yet?
1049311324482822144,Windows,2018-10-08 14:51:29,"@DrewHD1903 Thanks for sharing your thoughts with us, Drew! When was your first time using a Windows device?"
1049309042907201536,Windows,2018-10-08 14:42:25,"@elmeshne9 Hmm. To help us better understand, could you share a few more details about the make and model of your PC?"
1049308686559170562,Windows,2018-10-08 14:41:00,@ro_sheri Thanks for doing that! We love having loyal users like you. 💙 We recommend checking out how to free up dr… https://t.co/Z62PlSNShI
1049308181917327360,Windows,2018-10-08 14:39:00,@keyperspective Both are great options! What kind of work will you be using a new device for the most?
1049307811618988032,Windows,2018-10-08 14:37:32,"@David82018 Glad to hear the update was successful, David. Make sure to share your experience with us here: https://t.co/RxVEWRGFvD"
1049041681100759042,Windows,2018-10-07 21:00:01,Hold onto the season's beauty long after the last leaf has fallen with this 17-image #Windows10 Autumn Colors theme… https://t.co/evWIqXcdW5
1049015361440497664,Windows,2018-10-07 19:15:26,"@hossamhammouri That's fantastic. Thanks for taking the time to chat with us, Semoo!"
1049013993531199488,Windows,2018-10-07 19:10:00,@DarMagnani Oh no! We completely understand your concerns. Are all the drivers for these accessories up to date now?
1048709486297399298,Windows,2018-10-06 23:00:00,"Thanks for the shout-out @Mashable! See what they had to say about the Your Phone app, Timeline on phone, and the r… https://t.co/0Gcjp5SWdS"
1048686852134391811,Windows,2018-10-06 21:30:03,"If you’ve got a second, see how we can help give you back some time. Get the most out of the #Windows10 October Upd… https://t.co/b2LWC26H5l"
1048649099610873856,Windows,2018-10-06 19:00:02,"Stand out, catch up, unwind. Switching from work to play is seamless on the new @Surface Laptop 2, now in Black. Ad… https://t.co/0ww2tVMe9Y"
1048645806075650049,Windows,2018-10-06 18:46:57,"@agumarinangeli We're so excited to hear that! Thanks for taking the time to share your thoughts with us, Agustin!"
1048645174400880641,Windows,2018-10-06 18:44:27,"@Mostafa88211681 Well, we appreciate it all the same! Thanks for taking the time to talk with us a bit, Mostafa!"
1048644929147289600,Windows,2018-10-06 18:43:28,"@CunningXDuck Haha! Well, we appreciate your longtime support and taking the time to chat with us today!"
1048644559020986374,Windows,2018-10-06 18:42:00,@Timmy_Turner100 That's fantastic. Thanks for taking the time to share your experience with us!
1048643012182597632,Windows,2018-10-06 18:35:51,@EVERSICK1166 We can't wait for you to try it! Thanks for being a fan and taking the time to chat with us. 😁
1048642256578785281,Windows,2018-10-06 18:32:51,@dasutein_ Fantastic news! How are you enjoying it so far? 😁
1048642044057604101,Windows,2018-10-06 18:32:00,"@Joyce1Hock Ah, thanks for your patience. We appreciate you getting this information to us. Have you already logged… https://t.co/9mqn1r6v7O"
1048609326670237698,Windows,2018-10-06 16:22:00,"@mauroservienti Ah, understood. Thanks for taking the time to share your experience with us!"
1048603773784997888,Windows,2018-10-06 15:59:56,"What’s new? Texts on your PC that’s what. Get photos and texts instantly on your PC with Your Phone app, new in the… https://t.co/q6ciQQgtSh"
1048601898553622534,Windows,2018-10-06 15:52:29,@jjoune That's great to hear. Thanks for being a loyal Windows user! 💙
1048596240898961409,Windows,2018-10-06 15:30:00,@AutomotiveUX We appreciate you saying so! Thanks for taking the time to chat with us. 😁
1048345191323713536,Windows,2018-10-05 22:52:25,"@ChrisBlinker Hi, Chris. Can you share more with us what happened to cause this? We're here to help."
1048343947351867392,Windows,2018-10-05 22:47:28,"@feryardiant Hello, there! What sort of errors are you seeing? We'd love to learn more."
1048343256684277760,Windows,2018-10-05 22:44:44,@HeyiamHero Hello! Thanks for reaching out. Can you share with us what led to this error? We're here to help.
1048319668358991872,Windows,2018-10-05 21:11:00,See what @DigitalTrends has to say about the new Your Phone app and Timeline on phone in the #Windows10 October Upd… https://t.co/ExGeUaDp4j
1048319540147441664,Windows,2018-10-05 21:10:29,"@HgAlexx Hello! Thanks for sharing this with us. Can you share some details about your build, too?"
1048310483944689669,Windows,2018-10-05 20:34:30,@thedark_fantasy Hello! Can you share more with us about what you're seeing? We're here to help.
1048283294847176704,Windows,2018-10-05 18:46:28,@declaa We're happy to hear you love it! 😊 Which new features and improvements are standing out to you at the moment?
1048282886451937280,Windows,2018-10-05 18:44:50,"@davepermen Hi, Dave. Can you share a bit more about when this happens? Perhaps we can help."
1048282275488702464,Windows,2018-10-05 18:42:25,@SvenDaHacker64 Excellent! Have any other new features been catching your eye?
1048278761106493441,Windows,2018-10-05 18:28:27,@Gachanja_ Right on! 🙂 We recommend learning more about the new features in the Windows October 2018 Update here: https://t.co/ytYIQzqrAA
1048278503962148864,Windows,2018-10-05 18:27:26,"@MrPNGbr Hello, there! Can you share more with us about your specific device? We'd love to help."
1048278259958525953,Windows,2018-10-05 18:26:27,@Switti00 Understood. We suggest checking your microphone settings for any anomalies: https://t.co/hQoupoIRzG Let us know if this helps!
1048278145701429248,Windows,2018-10-05 18:26:00,@Prescience_1 Hello! We'd love to help sort this out. Can you share more with us about your PC?
1049849039418679296,realDonaldTrump,2018-10-10 02:28:10,"RT @FLGovScott: If you’re in an evacuation zone, I am urging you to leave RIGHT NOW. Do not risk your life or the lives of your loved ones-…"
1049832845592723457,realDonaldTrump,2018-10-10 01:23:49,"THANK YOU IOWA &amp; NEBRASKA! VOTE, VOTE, VOTE! https://t.co/0pWiwCHGbh https://t.co/tzkiQ4IlEd"
1049831428115062790,realDonaldTrump,2018-10-10 01:18:12,https://t.co/CPf3oxgdRX
1049829285677203456,realDonaldTrump,2018-10-10 01:09:41,Beautiful evening in Iowa. GOD BLESS THE U.S.A.! #MAGA🇺🇸 https://t.co/Zi0rwyajrz
1049786137500217345,realDonaldTrump,2018-10-09 22:18:13,RT @fema: Flooding from Hurricane #Michael will affect several states. Finish preparations ASAP and get ready to shelter in a safe location…
1049781519424712704,realDonaldTrump,2018-10-09 21:59:52,RT @FLOTUS: Thank you Egypt 🇪🇬 🇺🇸 https://t.co/7i0POn29XN
1049781513347194880,realDonaldTrump,2018-10-09 21:59:51,RT @FLOTUS: Thank you Kenya 🇰🇪 🇺🇸 https://t.co/5FXP7Ki3Zw
